,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SMA,STD,Bollinger Upper,Bollinger Lower,Momentum,Williams %14,Stochastic %K with window size14,Stochastic %D with window size 3,Symbol,Series
0,2008-04-07,593.2,595.0,605.3,570.0,591.8,593.4,590.59,466172,27531786910000.004,44922.58835504886,160462,0.3442,562.51,50.278235324728385,663.0664706494567,461.95352935054325,0.07165123831945706,-38.38771593090212,66.28895184135979,43.12570019991502,MUNDRAPORT,EQ
1,2008-04-08,593.4,625.0,625.0,585.1,588.0,589.65,590.78,217730,12863012140000.0,44922.58835504886,64935,0.2982,561.505,49.47879902172165,660.4625980434433,462.5474019565567,0.0703477548504679,-40.18714011516315,11.403508771929717,35.32277422741839,MUNDRAPORT,EQ
2,2008-04-09,589.65,580.5,623.0,575.15,598.9,597.75,605.82,507422,30740860080000.0,44922.58835504886,89005,0.1754,561.3349999999999,49.341066220642396,660.0171324412847,462.6528675587151,0.0688812162230598,-36.300383877159305,47.2309299895507,41.64113020094674,MUNDRAPORT,EQ
3,2008-04-10,597.75,615.0,615.0,586.0,611.0,608.6,609.93,495019,30192522510000.004,44922.58835504886,230605,0.4659,560.58,48.44392417500908,657.4678483500182,463.6921516499819,0.06757296355629232,-31.09404990403069,77.9310344827587,45.52182441474637,MUNDRAPORT,EQ
4,2008-04-11,608.6,610.0,620.0,605.0,610.75,610.2,612.7,301522,18474226790000.0,44922.58835504886,115645,0.3835,560.945,48.80571553026753,658.5564310605351,463.333568939465,0.06652822354378728,-30.333573314134842,34.66666666666697,53.276210379658785,MUNDRAPORT,EQ
5,2008-04-15,610.2,605.0,650.0,600.0,649.6,642.55,630.29,732463,46166191445000.0,44922.58835504886,202598,0.2766,564.7574999999999,52.11220504329121,668.9819100865824,460.5330899134175,0.06620488888628573,-16.462113127001082,85.09999999999991,65.8992337164752,MUNDRAPORT,EQ
6,2008-04-16,642.55,657.0,662.0,632.0,641.0,637.4,648.05,440549,28549839940000.0,44922.58835504886,141662,0.3216,568.5775,54.56474781347118,677.7069956269423,459.44800437305764,0.06637462785980415,-19.210245464247603,17.999999999999925,45.92222222222227,MUNDRAPORT,EQ
7,2008-04-17,637.4,648.8,659.4,621.05,627.9,626.35,642.94,442496,28449935250000.0,44922.58835504886,166569,0.3764,574.3225,54.281397596233056,682.8852951924661,465.75970480753386,0.06680873836102998,-29.703282828282806,13.820078226858058,38.97335940895263,MUNDRAPORT,EQ
8,2008-04-21,626.35,640.0,654.95,633.1,646.0,645.15,644.67,257175,16579379110000.0,44922.58835504886,67098,0.2609,581.4599999999999,53.70864039083385,688.8772807816677,474.0427192183322,0.06752983277679928,-27.32108317214701,55.14874141876404,28.989606548540674,MUNDRAPORT,EQ
9,2008-04-22,645.15,640.0,673.4,638.15,671.9,665.85,661.65,574697,38024968270000.0,44922.58835504886,174611,0.3038,589.865,53.06856066994158,696.0021213398832,483.72787866011686,0.06870492031208757,-7.301740812379068,78.58156028368808,49.18345997643672,MUNDRAPORT,EQ
10,2008-04-23,665.85,675.0,677.9,652.4,668.3,666.7,664.87,362552,24105041295000.0,44922.58835504886,106485,0.2937,599.74,47.518657277684106,694.7773145553682,504.7026854446318,0.06975676321025014,-10.379981464318751,56.07843137254929,63.26957769166714,MUNDRAPORT,EQ
11,2008-04-24,666.7,668.0,677.85,658.1,662.0,665.25,665.17,255828,17016807785000.0,44922.58835504886,114951,0.4493,608.1450000000001,43.076678572545674,694.2983571450915,521.9916428549087,0.07065251600825503,-11.723818350324356,36.20253164556951,56.95417443393563,MUNDRAPORT,EQ
12,2008-04-25,665.25,670.0,718.0,659.1,717.0,712.15,700.58,1510614,105830561130000.0,44922.58835504886,484802,0.3209,618.55,41.72112616434695,701.9922523286939,535.107747671306,0.07185971538895268,-3.9527027027027177,90.06791171477076,60.782958244296516,MUNDRAPORT,EQ
13,2008-04-28,712.15,725.0,741.1,703.0,737.0,736.45,727.8,1072156,78031732120000.0,44922.58835504886,334387,0.3119,629.5725,42.31858641990826,714.2096728398164,544.9353271601835,0.07403321835915773,-2.7177089421390863,87.79527559055124,71.35523965029716,MUNDRAPORT,EQ
14,2008-04-29,736.45,738.25,748.0,711.1,740.0,740.6,729.11,600573,43788548835000.0,44922.58835504886,154227,0.2568,635.6425,48.94089419902637,733.5242883980528,537.7607116019473,0.07609820370843179,-4.2811686433323555,79.94579945799462,85.93632892110554,MUNDRAPORT,EQ
15,2008-04-30,740.6,740.0,774.0,715.0,755.05,760.15,760.03,731082,55564377910000.0,44922.58835504886,159754,0.2185,644.7125,54.35220151208977,753.4169030241795,536.0080969758204,0.07765950312681048,-6.965049031933629,76.52542372881352,81.4221662591198,MUNDRAPORT,EQ
16,2008-05-02,760.15,766.25,788.0,763.65,766.05,766.65,775.93,607475,47135810255000.0,44922.58835504886,140632,0.2314999999999999,653.4350000000001,59.25796659744105,771.9509331948822,534.919066805118,0.07948035347169162,-10.569306930693081,12.320328542094444,56.263850576300875,MUNDRAPORT,EQ
17,2008-05-05,766.65,681.7,781.7,681.7,752.55,754.4,768.38,248543,19097499220000.0,44922.58835504886,60428,0.2430999999999999,660.7375,62.32907971109357,785.3956594221871,536.0793405778128,0.08118127324103369,-17.872340425531927,72.69999999999993,53.84858409030263,MUNDRAPORT,EQ
18,2008-05-06,754.4,730.0,767.9,725.1,761.0,757.9,754.53,418643,31587775900000.0,44922.58835504886,122370,0.2923,668.5175,64.32991093410394,797.1773218682079,539.8576781317922,0.0827852211874683,-16.010638297872354,76.63551401869157,53.88528085359531,MUNDRAPORT,EQ
19,2008-05-07,757.9,762.0,774.5,745.0,769.0,768.5,765.19,295381,22602357400000.0,44922.58835504886,91621,0.3102,677.2825,65.46018531781263,808.2028706356252,546.3621293643748,0.08521839600687142,-11.68014375561545,79.66101694915254,76.33217698928134,MUNDRAPORT,EQ
20,2008-05-08,768.5,760.0,785.0,752.0,783.95,781.5,771.48,422630,32605189215000.0,44922.58835504886,146167,0.3459,686.6875,66.28154239184818,819.2505847836964,554.1244152163036,0.08794381842430463,-3.893381251871817,89.39393939393939,81.89682345392784,MUNDRAPORT,EQ
21,2008-05-09,781.5,770.45,803.75,770.0,778.8,783.75,787.68,657740,51809148855000.0,44922.58835504886,158828,0.2415,696.3925,65.53132090639633,827.4551418127927,565.3298581872074,0.09057100613912372,-11.719894520949312,40.74074074074074,69.93189902794423,MUNDRAPORT,EQ
22,2008-05-12,783.75,719.2,814.8,719.2,810.7,807.55,797.86,1245745,99393371935000.0,44922.58835504886,452806,0.3635,706.8824999999999,65.70170684917541,838.2859136983508,575.4790863016491,0.0931235906446466,-4.104160769883952,92.41631799163179,74.18366604210398,MUNDRAPORT,EQ
23,2008-05-13,807.55,818.4,827.5,786.15,793.9,792.85,808.14,469124,37911943770000.0,44922.58835504886,106361,0.2267,716.095,64.09332402216914,844.2816480443383,587.9083519556617,0.09549686881315278,-19.78869217589947,16.203143893591395,49.78673420865464,MUNDRAPORT,EQ
24,2008-05-14,792.85,790.0,802.25,782.0,789.0,789.2,792.56,168459,13351379500000.0,44922.58835504886,39267,0.2331,725.045,60.94849831922564,846.9419966384512,603.1480033615487,0.09757211695705505,-22.609208972845313,35.55555555555578,48.05833914692632,MUNDRAPORT,EQ
25,2008-05-15,789.2,795.0,808.9,785.0,787.0,790.85,797.6,139664,11139619770000.0,44922.58835504886,42034,0.301,732.46,59.384960881923554,851.2299217638472,613.6900782361529,0.09884115302848377,-21.763657957244646,24.476987447698864,25.41189563228201,MUNDRAPORT,EQ
26,2008-05-16,790.85,795.0,800.0,771.2,775.75,775.6,785.1,184836,14511524465000.0,44922.58835504886,87551,0.4737,739.37,55.665633355260766,850.7012667105215,628.0387332894785,0.0988426600446956,-35.596707818930035,15.277777777777724,25.10344026034412,MUNDRAPORT,EQ
27,2008-05-20,775.6,776.0,904.7,770.0,890.0,884.05,855.33,3561137,304592997835000.0,44922.58835504886,1308911,0.3676,752.255,57.90778036081155,868.0705607216231,636.4394392783769,0.09413857112975102,-9.260089686098695,84.66963622865622,41.47480048471093,MUNDRAPORT,EQ
28,2008-05-21,884.05,894.55,926.0,869.8,900.0,901.35,903.34,2516620,227335329180000.03,44922.58835504886,700013,0.2782,765.065,61.21094909796673,887.4868981959335,642.6431018040666,0.08620076218119875,-10.090053213262374,56.13879003558726,52.02873468067373,MUNDRAPORT,EQ
29,2008-05-22,901.35,897.8,914.95,868.05,885.5,884.4,892.79,1339876,119622710365000.02,44922.58835504886,284942,0.2127,775.9925000000001,62.068657390532785,900.1298147810656,651.8551852189345,0.07596208637797802,-17.028243962341396,34.86140724946693,58.5566111712368,MUNDRAPORT,EQ
30,2008-05-23,884.4,890.0,904.0,846.0,851.0,853.65,878.61,691813,60783626395000.01,44922.58835504886,161057,0.2328,785.3399999999999,58.73050314785473,902.8010062957094,667.8789937042905,0.064303442870761,-29.615227179697108,13.189655172413755,34.72995081915598,MUNDRAPORT,EQ
31,2008-05-26,853.65,848.45,905.4,829.0,902.0,887.45,868.68,1011808,87893692865000.0,44922.58835504886,324997,0.3212,796.45,55.759054020520516,907.9681080410411,684.931891958959,0.04973349778617542,-18.64119922630559,76.50523560209432,41.518766007991665,MUNDRAPORT,EQ
32,2008-05-27,887.45,909.9,926.0,860.4,864.0,873.05,889.71,1280280,113908133455000.0,44922.58835504886,225529,0.1762,804.495,54.55031453428691,913.5956290685738,695.3943709314262,0.03516588324580626,-25.604448742746644,19.283536585365812,36.32614245329129,MUNDRAPORT,EQ
33,2008-05-28,873.05,873.0,883.0,835.0,840.1,841.0,859.2,617676,53070812015000.0,44922.58835504886,145633,0.2357999999999999,809.7225000000001,52.66325862696576,915.0490172539317,704.3959827460685,0.022685019735719052,-41.102514506769836,12.5,36.09625739582004,MUNDRAPORT,EQ
34,2008-05-29,841.0,851.15,867.9,829.15,834.05,834.85,850.21,447906,38081198430000.0,44922.58835504886,72979,0.1629,814.4350000000001,50.3170346272946,915.0690692545893,713.8009307454108,0.011393954513815065,-44.07640232108317,14.709677419354955,15.497738001573586,MUNDRAPORT,EQ
35,2008-05-30,834.85,843.1,847.7,760.0,788.0,790.4,794.59,851156,67631655690000.0,44922.58835504886,256211,0.301,815.9475,49.03776330812113,914.0230266162423,717.8719733837577,0.003884989403238518,-65.57059961315282,34.66362599771946,20.624434472358132,MUNDRAPORT,EQ
36,2008-06-02,790.4,795.5,827.0,760.05,761.0,765.8,793.67,849170,67395807979999.99,44922.58835504886,109036,0.1284,815.905,49.08308450179837,914.0711690035967,717.7388309964033,0.0002259329211426016,-96.50602409638557,8.58849887976101,19.320600765611804,MUNDRAPORT,EQ
37,2008-06-03,765.8,741.0,769.9,733.35,740.3,739.4,746.5,532850,39777497035000.0,44922.58835504886,140129,0.263,815.155,50.17481780839285,915.5046356167857,714.8053643832143,0.001033183714464845,-96.85958992992477,16.552667578659268,19.934930818713244,MUNDRAPORT,EQ
38,2008-06-04,739.4,742.0,755.7,692.25,704.0,702.2,725.64,383088,27798374550000.0,44922.58835504886,64635,0.1687,812.37,54.84826293847942,922.0665258769588,702.6734741230412,0.0027497737883469277,-95.74331550802138,15.681639085894465,13.607601848104913,MUNDRAPORT,EQ
39,2008-06-05,702.2,701.0,708.9,635.1,656.0,657.55,662.94,715963,47464091530000.0,44922.58835504886,215083,0.3004,806.8225,64.31315956646206,935.4488191329241,678.1961808670759,0.002456628112844912,-92.2825713303541,30.42005420054193,20.884786955031885,MUNDRAPORT,EQ
40,2008-06-06,657.55,669.9,681.25,635.0,636.5,639.6,658.56,568394,37431997125000.0,44922.58835504886,105776,0.1861,799.7275,74.3047856980406,948.3370713960812,651.1179286039187,0.004124855833061011,-98.41924398625429,9.945945945945995,18.682546410794128,MUNDRAPORT,EQ
41,2008-06-09,639.6,620.0,626.0,591.3,618.05,612.6,607.07,461334,28006092675000.0,44922.58835504886,120485,0.2612,791.17,85.285781810027,961.741563620054,620.598436379946,0.004485654925564354,-93.63609202270689,61.38328530259378,33.91642848302723,MUNDRAPORT,EQ
42,2008-06-10,612.6,599.2,618.85,580.0,589.0,589.25,598.64,517227,30963215125000.0,44922.58835504886,137746,0.2663,780.255,96.33282888534315,972.9206577706863,587.5893422293137,0.005480883448270574,-97.32658959537572,23.809523809523796,31.712918352687854,MUNDRAPORT,EQ
43,2008-06-11,589.25,598.0,631.4,595.2,606.9,607.1,612.29,768360,47045842185000.0,44922.58835504886,162505,0.2115,770.9675,103.7251254581838,978.4177509163676,563.5172490836324,0.006221234906778132,-92.16763005780346,32.87292817679558,39.355245762971045,MUNDRAPORT,EQ
44,2008-06-12,607.1,597.9,604.4,570.0,588.0,593.5,588.72,506097,29794772310000.004,44922.58835504886,171952,0.3398,761.1825,110.89741498933135,982.9773299786627,539.3876700213373,0.007233397000768168,-93.39887640449437,68.31395348837214,41.665468491563836,MUNDRAPORT,EQ
45,2008-06-13,593.5,593.5,614.9,592.2,596.0,600.3,603.49,511556,30871643985000.004,44922.58835504886,86442,0.1689999999999999,751.655,116.26966149521,984.19432299042,519.1156770095799,0.008511476353396856,-91.48876404494384,35.68281938325962,45.62323368280911,MUNDRAPORT,EQ
46,2008-06-16,600.3,610.0,639.8,606.05,621.0,620.9,627.89,962136,60411749560000.0,44922.58835504886,121814,0.1266,743.9200000000001,119.68840070432094,983.296801408642,504.5431985913582,0.011446156401753123,-83.73801916932908,44.000000000000064,49.33225762387727,MUNDRAPORT,EQ
47,2008-06-17,620.9,621.0,634.75,612.0,632.0,630.6,628.23,346842,21789707725000.0,44922.58835504886,65496,0.1888,731.2475,117.46760188844098,966.1827037768819,496.312296223118,0.015175316766643002,-79.6576032225579,81.75824175824185,53.81368704716717,MUNDRAPORT,EQ
